department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-Warszawa;53/K/B/2015;2016-12-31;SQ90LLK;T;500;SP5SSB;;;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Katiuszy;6;
UKE-Warszawa;3/K/B/2016;2016-12-31;3Z1050CHP;T;1500;SP5UHW;;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;52∞13.08'N     20∞59.19'E;;;
UKE-Warszawa;7/K/B/2016;2016-12-31;SP1050CHP;T;1500;SP5UHW;;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;52∞13.08'N    20∞59.18'E;;;
UKE-Warszawa;8/K/B/2016;2016-12-31;SQ1050CHP;T;1500;SP5UHW;;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;52∞12.83'N    20∞58.00'E;;;
UKE-Warszawa;10/K/B/2016;2016-12-31;SQ90LKK;T;500;SP5SSB;;;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Katiuszy;6;
UKE-Warszawa;15/K/B/2016;2016-12-31;3Z100HH;T;1500;SP5UHW;;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;Fundacja OPOR (OgÛlnopolskie Porozumienie Organizacji Radioamatorskich);Warszawa;ul. Chocimska;14;;52∞12.82'N    20∞58.00'E;;;
UKE-Szczecin;161/K/P/2012;2017-01-09;SP1ZCV;1;500;SP1LOS;SP1MVG;SP1KV;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Harcerski Klub KrÛtkofalowcÛw PZK;Szczecin;OGI—SKIEGO;15;;Szczecin;OGI—SKIEGO;15;
UKE-Szczecin;160/K/P/2012;2017-01-10;SP1PWP;1;500;SP1IKK;SP1FFC;SQ1SDS;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Trzebieski Klub £πcznoúci PZK;Trzebieø;WOP;7;;Trzebieø;WOP;7;
UKE-Szczecin;155/K/P/2012;2017-01-10;SP1YGL;1;500;SP1DTG;SP1AQJ;SP1TMG;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Goleniowski Klub KrÛtkofalowcÛw PZK;GoleniÛw;S≥owackiego;1;;GoleniÛw;S≥owackiego;1;
UKE-Warszawa;54/K/B/2012;2017-01-14;SP5PAS;1;500;SQ5FG;SQ5FNQ;SQ5MBN;Polska Akademia Nauk, Centrum Astronomiczne im.M.Kopernika;Warszawa;ul. Bartycka;18;;Polska Akademia Nauk, Centrum Astronomiczne im.M.Kopernika;Warszawa;ul. Bartycka;18;;Warszawa;ul. Bartycka;18;
UKE-Katowice;167/K/F/2016;2017-01-15;SO9Q;T;1500;SP9QMP;SP9PT;SP9FTJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;KoleøeÒski Klub KrÛtkofalowcÛw;Rydu≥towy;Raciborska;496;1;Rydu≥towy;Raciborska;496;1
UKE-Wroc≥aw;139/K/R/2012;2017-01-16;SP6YCS;1;500;SP6QKP;SP6QKS;SQ6OEP;Sudecki Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw;Kamienna GÛra;ul. Piastowska;3;;Klub KrÛtkofalowcÛw ul. Ptasia 113;Lubin;Ptasia;113;;Lubin;Ptasia;113;
