department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-KrakÛw;171/K/I/2012;2017-03-19;SP9ZAA;1;500;SP9SPW;SP9XWM;SP9UMX;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;"Harcerski Klub £πcznoúci ""Bartek""  przy  5 KDH  ""Dzieci Pioruna""";KrakÛw;ul. NowaczyÒskiego;2;;KrakÛw;ul. NowaczyÒskiego;2;
UKE-Warszawa;83/K/B/2012;2017-03-19;SP5PPA;1;500;SP5LS;SP5PX;SP5XOV;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Marymoncka;137/139;48;Warszawa;ul. Marymoncka;137/139;48
UKE-Lublin;1/D/K/K/2016;2017-03-20;SN8N;T;1500;SQ8KJF;;;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Lubelska Organizacja WojewÛdzka LOK w Lublinie;Lublin;ul. Na≥Íczowska;25;;Lublin;ul. Na≥Íczowska;25;
UKE-Szczecin;15/K/P/2012;2017-03-21;SP1KNM;1;500;SP1GZF;SP1RKT;SQ1ROJ;årodkowopomorski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw w Koszalinie;Koszalin;åniadeckich;1A;16;"Klub £πcznoúci ""Delta""";Dar≥owo;SowiÒskiego;12;;Dar≥owo;SowiÒskiego;12;
UKE-RzeszÛw;5/K/O/2012;2017-03-26;SP8PLM;1;150;SQ8JLU;SQ8JMZ;SQ8KFH;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;£aÒcucki Klub KrÛtkofalowcÛw;£aÒcut;ul. Mickiewicza;3;;£aÒcut;ul. Mickiewicza;3;
UKE-Szczecin;134/K/P/2016;2017-03-28;HF35Y;T;1500;SP1F;SP1TJ;SP1NZ;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;Ko≥obrzeg;Gie≥dowa;11;35
UKE-Szczecin;139/K/P/2016;2017-03-28;SN1I;T;1500;SP1UJO;SQ1RER;SP1NQR;årodkowopomorski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw w Koszalinie;Koszalin;åniadeckich;1A;16;"Klub KrÛtkofalowcÛw przy KSM ""Na Skarpie""";Koszalin;Kwiatkowskiego;26A;;Koszalin;Kwiatkowskiego;26A;
UKE-PoznaÒ;2/K/N/2012;2017-03-29;SP3PSM;1;150;SP3AFO;SP3CCT;SP3WXI;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;KLUB KR”TKOFALOWC”W IM.ZYGMUNTA BRESI—SKIEGO TPKX PRZY POZNA—SKIEJ SP”£DZIELNI MIESZKANIOWEJ;POZNA—;OS.B.åMIA£EGO;36;;POZNA—;OS.B.åMIA£EGO;36;
UKE-Szczecin;82/K/P/2016;2017-03-29;HF1CHO;T;500;SQ1BHH;;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK w Chojnie;Chojna;JagielloÒska;2;;Chojna;JagielloÒska;2;
UKE-GdaÒsk;0025/K/E/2012;2017-03-30;SP2PTL;1;500;SP2NBZ;SP2HMR;SQ2BXI;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Szkolny Klub KrÛtkofalowcÛw SP2PTL przy Zespole SzkÛ≥ £πcznoúci w GdaÒsku;WARSZAWA;ul. OkÛlnik;9a;16;GDA—SK;ul. Podwale Staromiejskie;51;52
UKE-Katowice;169/K/F/2016;2017-03-31;SN9C;T;1500;SP9GR;SP9GPW;SP9VJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw PZK Ziemi CzÍstochowskiej;CzÍstochowa;Lelewela;3;9;CzÍstochowa;ks. bp. Teodora Kubiny;54;
UKE-Katowice;127/K/F/2012;2017-04-01;SP9KAJ;1;150;SP9GR;SP9GPW;SP9VJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw PZK Ziemi CzÍstochowskiej;CzÍstochowa;Lelewela;3;9;CzÍstochowa;ks. bp. Teodora Kubiny;54;
UKE-Szczecin;20/K/P/2012;2017-04-01;SP1PNW;1;500;SP1FMW;SQ1GZS;SP1FYJ;Polski  Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub £πcznoúci PZK przy DÍbnowskim Oúrodku Kultury w DÍbnie;DÍbno;DASZY—SKIEGO;20;;DÍbno;DASZY—SKIEGO;20;
UKE-Szczecin;23/K/P/2012;2017-04-01;SP1KRF;1;500;SP1IVL;SQ1VAA;SQ1MNF;Polski  Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Barlinecki Klub KrÛtkofalowcÛw PZK;Barlinek;PODWALE;9;;Barlinek;PODWALE;9;
UKE-Szczecin;63/K/P/2016;2017-04-01;3Z1K;T;500;SP1IVL;SQ1VAA;SQ1DWS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Barlinecki Klub KrÛtkofalowcÛw PZK;Barlinek;PODWALE;9;;Barlinek;PODWALE;9;
UKE-Warszawa;86/K/B/2012;2017-04-01;SP5PLN;1;150;SQ5NWR;SQ5SDL;SQ5OBS;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9a;16;Jab≥onna;ul. ModliÒska;182;
UKE-Warszawa;87/K/B/2012;2017-04-01;SP5ZHH;1;150;SQ5JRE;SQ5XD;SQ8ESI;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;Harcerski Klub £πcznoúci SP5ZHH;Warszawa;ul. Przasnyska;18A;;Warszawa;ul. Przasnyska;18A;
UKE-Bydgoszcz;5/K/D/2016;2017-04-03;SN2U;T;500;SP2CA;SP2BZR;SP2CNW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoszcz;ul. Kaliskiego;12DSF1;1003
UKE-Zielona GÛra;29/K/S/2012;2017-04-03;SP3PJE;1;150;SQ3JPU;SQ3HLV;SP3VAQ;STOWARZYSZENIE NA RZECZ ROZWOJU WSI DRZONK”W;DrzonkÛw;S£ONECZNA;7;;STOWARZYSZENIE NA RZECZ ROZWOJU WSI DRZONK”W;DrzonkÛw;S£ONECZNA;7;;DrzonkÛw;SZKOLNA;2;
UKE-PoznaÒ;3/K/N/2012;2017-04-05;SP3ZAC;1;150;SP3GZJ;SP3DJS;SP3DOG;ZWI•ZEK HARCERSTWA POLSKIEGO CHOR•GIEW WILEKOPOLSKA HUFIEC POZNA—-WILDA IM. J.KASPROWICZA;POZNA—;KOSI—SKIEGO;9;;"HARCERSKI KLUB £•CZNOåCI ""WILDA""  SP3ZAC";POZNA—;OSINOWA;14/16;;POZNA—;OSINOWA;14/16;
UKE-Szczecin;165/K/P/2016;2017-04-06;SN1050PBW;T;500;SP1JW;SP1DPA;SP1EG;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Wojskowy Klub KrÛtkofalowcÛw PZK SP1PBW;Szczecin;WAWRZYNIAKA;5;;Szczecin;WAWRZYNIAKA;7;
UKE-Olsztyn;2/K/M/2012;2017-04-11;SP4KPP;1;150;SP4WLW;SQ4OC;SP4ICD;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KPP;Olecko;Cisowa;5;;Olecko;Cisowa;5;
UKE-Szczecin;28/K/P/2012;2017-04-11;SP1KZE;1;500;SQ1BHH;SP1MWN;SP1TMB;Polski  Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw PZK w Chojnie;Chojna;JagielloÒska;2;;Chojna;JagielloÒska;2;
UKE-KrakÛw;172/K/I/2012;2017-04-12;SP9KUP;1;150;SP9SDR;SQ9OKY;SQ9MUX;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP9KUP;AndrychÛw;ul. Starowiejska;22;;AndrychÛw;ul. Starowiejska;22;
UKE-RzeszÛw;4/K/O/2012;2017-04-17;SP8KBN;1;150;SP8RHT;SP8JRD;SP8TJC;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci SP8KBN w Kroúnie;Krosno;ul. Tysiπclecia;18A;;Krosno;ul. Tysiπclecia;18A;
UKE-Warszawa;88/K/B/2012;2017-04-17;SP5PRF;1;500;SP5MXW;SQ5OBU;SQ5STZ;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Stara Wieú;ul. Grodziska;154A;;Stara  Wieú;ul. Grodziska;154A;
UKE-Warszawa;89/K/B/2012;2017-04-17;SP5YOW;1;150;SQ5RDA;SQ5NHJ;SQ5NHK;"Towarzystwo PrzyjaciÛ≥ Zwiπzku Strzeleckiego ""Strzelec"" Organizacji Spo≥eczno-Wychowaczej Jednostki Strzeleckiej 1019";OTWOCK;ul. Konopnickiej;3;;"Towarzystwo PrzyjaciÛ≥ Zwiπzku Strzeleckiego ""Strzelec"" Organizacji Spo≥eczno-Wychowaczej Jednostki Strzeleckiej 1019";OTWOCK;ul. Konopnickiej;3;;OTWOCK;ul. Konopnickiej;3;
UKE-Warszawa;90/K/B/2012;2017-04-19;SP5PRW;1;500;SP5BLD;SP5SSB;SP2JMR;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Grodzisk Maz.;ul. Su≥kowskiego;21;
UKE-Wroc≥aw;4/D/K/R/2016;2017-04-26;SP6G;T;1500;;;;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK, SP6KGJ;G≥ogÛw;ul. Kamienna Droga;2;;G≥ogÛw;ul. Kamienna Droga;2;
UKE-Wroc≥aw;76/K/R/2012;2017-04-30;SP6YFU;1;500;SP6NVK;SQ6EMM;SP6OPE;Skautowy Klub Techniki;Lubin;ul. Asnyka;37c;;Skautowy Klub Techniki;Lubin;ul. Asnyka;37c;;Lubin;Asnyka;37c;
UKE-Bydgoszcz;25/K/D/2012;2017-05-01;SP2ZCI;1;150;SP2JBJ;SP2QVH;SQ2FRQ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Harcerski Klub £πcznoúci EMITER;£ochowo;ul. Wczasowa;3;;£ochowo;ul. Wczasowa;3;
UKE-£Ûdü;131/K/L/2012;2017-05-06;SP7PTM;1;150;SP7HIW;SP7OGP;SP7SZW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Szkolny Klub KrÛtkofalowcÛw przy I LO w Tomaszowie Mazowieckim;TomaszÛw Maz.;Moúcickiego;22/24;;TomaszÛw Maz.;Moúcickiego;22/24;
UKE-Zielona GÛra;1/D/K/S/2016;2017-05-09;HF3A;T;1500;SP3RBR;SP3DVG;SQ6ODD;"STOWARZYSZENIE KR”TKOFALOWC”W WZG”RZ DALKOWSKICH ""SP3KEY""";Nowa SÛl;AL. WOLNOåCI;8;;KO£O TERENOWE RADIOKLUB SP3PJY W NOWYM MIASTECZKU;Nowa SÛl;AL. WOLNOåCI;8;;Nowe Miasteczko;22 LIPCA;18;
UKE-PoznaÒ;4/K/N/2012;2017-05-14;SP3PWL;1;150;SQ3JPV;SP3RBQ;SP3DWH;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;LUBUSKI ODDZIA£ PZK;ZIELONA G”RA;ROLNICZA;7;;T£OKI;;60A;
UKE-KrakÛw;173/K/I/2012;2017-05-15;SP9KGC;1;500;SP9DEM;SP9ATE;SP9JZU;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;Radioklub w Skawinie;Skawina;ul. Sadowa;44;;Skawina;ul. Sadowa;44;
UKE-Szczecin;262/K/P/2016;2017-05-15;SN1D;T;1500;SP1GZF;;;årodkowopomorski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw w Koszalinie;Koszalin;åniadeckich;1A;16;"Klub £πcznoúci ""Delta""";Dar≥owo;SowiÒskiego;12;;Dar≥owo;SowiÒskiego;12;
UKE-Warszawa;56/K/B/2012;2017-05-16;SP5PEP;1;500;SP5SSB;SP5CNA;SP5AYY;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Lokajskiego;22;42
UKE-Warszawa;91/K/B/2012;2017-05-30;SP5PPW;1;150;SP5DUZ;SQ2YC;SP5NHV;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Gorlicka;6;71;Warszawa;ul. Gorlicka;6;71
UKE-Bydgoszcz;11/K/D/2016;2017-05-31;SN2X;T;500;SQ2JK;SQ2KLU;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoszcz;ul. Kujawska;48;33
UKE-Szczecin;52/K/P/2012;2017-06-01;SP1PWU;1;500;SP1WSX;SP1ST;SQ1KSA;Polski  Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;"Klub KrÛtkofalowcÛw PZK ""44 WYSPY"" w åwinoujúciu";åwinoujúcie;Wojska Polskiego;1;1;åwinoujúcie;Pi≥sudskiego;45a;
UKE-Kielce;1384/K/G/2016;2017-06-03;SO7M;T;1500;;;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Kielce;åciegiennego;2;
UKE-PoznaÒ;5/K/N/2012;2017-06-05;SP3POH;1;150;SP3OL;SQ3OPM;SP3EJL;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;AMATORSKI KLUB KR”TKOFALOWC”W;LULINEK;LEåNA;31;;LULINEK;LEåNA;31;
UKE-Wroc≥aw;5/K/R/2012;2017-06-11;SP6YOK;1;150;SQ6MNQ;SP6QH;SQ6LZA;StrzeliÒski Oúrodek Kultury;Strzelin;Brzegowa;10a;;StrzeliÒski Oúrodek Kultury;Strzelin;Brzegowa;10a;;Strzelin;Brzegowa;10a;
UKE-RzeszÛw;6/K/O/2012;2017-06-14;SP8KNR;1;150;SQ8NMM;SP8RPA;SP8LOK;"Stowarzyszenie ""Nauka i RozwÛj""";Jaros≥aw;ul. åwiÍtego Ducha;1;;"Stowarzyszenie ""Nauka i RozwÛj""";Jaros≥aw;ul. åwiÍtego Ducha;1;;Jaros≥aw;ul. åwiÍtego Ducha;1;
UKE-Bydgoszcz;18/K/D/2012;2017-06-20;SP2PUT;1;500;SP2CA;SP2BZR;SP2CNW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoszcz;ul. Kaliskiego;12;DS1/p.1003
UKE-Kielce;65/K/G/2012;2017-06-20;SP7PSQ;1;150;SP7VUG;SQ7BQO;SP7MOA;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Klub KrÛtkofalowcÛw powiatu skarøyskiego;SuchedniÛw;Mi≥a;7a;;SuchedniÛw;Mi≥a;7a;
UKE-PoznaÒ;6/K/N/2012;2017-06-24;SP3PKA;1;150;SP3EWP;SP3UQE;SQ3RPM;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"KLUB KR”TKOFALOWC”W ""CALISIA""";KALISZ;WIDOK;95/45;;KALISZ;PIWONICKA;42;
UKE-RzeszÛw;38/K/O/2016;2017-06-24;3Z70AR;T;500;;;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;£aÒcucki Klub KrÛtkofalowcÛw;£aÒcut;ul. Mickiewicza;3;;£aÒcut;ul. Mickiewicza;3;
UKE-Szczecin;80/K/P/2012;2017-06-25;SP1YKO;1;500;SQ1KUK;SP1DKT;SP1JPH;årodkowopomorski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw w Koszalinie;Koszalin;åniadeckich;1A;16;Klub Rodzinny JAG;Koszalin;ZwyciÍstwa;309B;;Koszalin;ZwyciÍstwa;309B;
UKE-Bia≥ystok;1/K/C/2012;2017-06-27;SP4KWO;1;150;SP4FVS;SP4CMW;SP4IMI;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP4KWO;£omøa;ul. Zjazd;16;4;£omøa;ul. Zjazd;16;4
UKE-PoznaÒ;12/T/K/N/2016;2017-06-30;SN7H;T;1500;SP7MTU;SP7XK;SQ7MZH;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"OSIEDLOWY KLUB PZK PRZY S.M. ""ZARZEW""";£”Dè;PRZ DZALNIANA;102/104;;GRABINA;;34;
UKE-PoznaÒ;7/K/N/2012;2017-07-14;SP3KRE;1;150;SP3IGP;SP3EZN;SQ3LMY;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK SP3KRE, RADIOKLUB LOK;K PNO;ZAMKOWA;5;;K PNO;ZAMKOWA;5;
UKE-Katowice;34/K/F/2012;2017-07-15;SP9ZCF;1;150;SP9CVQ;SP9FMP;SQ9MDT;Zwiπzek Harcerstwa Polskiego Chorπgiew ålπska;Katowice;Al.Korfantego;8;;"Harcerski Klub £πcznoúci im. Partyzanckiej Radiostacji ""B≥yskawica"" przy Komendzie Hufca ZHP Katowice";Katowice;Panewnicka;75;;Katowice;Panewnicka;75;
UKE-KrakÛw;174/K/I/2012;2017-07-30;SP9PON;1;150;SQ9LGM;SP9BWJ;SP9MAX;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;Oazowy Klub KrÛtkofalarski;KrakÛw;ul. Lwa Landaua;17;;KrakÛw;ul. Lwa Landaua;17;
UKE-Wroc≥aw;100/K/R/2012;2017-08-01;SP6PCL;1;500;SP6CRZ;SP6IYR;SP6JKI;Stowarzyszenie Klub KrÛtkofalowcÛw CUPRUM;Polkowice;ul. Bracka;1;1;Stowarzyszenie Klub KrÛtkofalowcÛw CUPRUM;Polkowice;ul. Bracka;1;1;Polkowice;ul. Bracka;1;1
UKE-Warszawa;92/K/B/2012;2017-08-05;SP5PIP;1;150;SQ5BE;SQ5HD;SQ9CWN;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Wyganowska;14;;Warszawa;ul. Wyganowska;14;
UKE-Wroc≥aw;62/K/R/2012;2017-08-10;SP6PWT;1;150;SQ8MZW;SQ6RDO;SP6IZU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9a;16;Studencki Klub PZK przy Politechnice Wroc≥awskiej;Wroc≥aw;ul. WrÛblewskiego;27;bud. T-17;Wroc≥aw;ul. WrÛblewskiego;27;bud. T-17
UKE-Bydgoszcz;1/K/D/2012;2017-08-14;SP2PAQ;1;500;SP2BLC;SP2IHI;SP2NJN;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub £πcznoúci Polskiego Zwiπzku KrÛtkofalowcÛw w Bia≥ych B≥otach;Bia≥e B≥ota;ul. Jutrzenki;18A;;Bia≥e B≥ota;ul. Jutrzenki;18A;
UKE-PoznaÒ;8/K/N/2012;2017-08-31;SP3KWA;1;500;SP3SLU;SP3OKS;SP3OKU;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"KLUB KR”TKOFALOWC”W SP3KWA PRZY S.M.""T CZA"" W TURKU";TUREK;PI£SUDSKIEGO;1;;TUREK;SP”£DZIELC”W;4;
UKE-Bia≥ystok;2/K/C/2012;2017-09-10;SP4YPL;1;150;SP4XYI;SP4RUD;SP4SAF;£omzyÒskie Stowarzyszenie KrÛtkofalowcÛw;£omøa;ul. Wojska   Polskiego;161D;39;£omzyÒskie Stowarzyszenie KrÛtkofalowcÛw;£omøa;ul. Wojska   Polskiego;161D;39;D≥ugobÛrz Drugi;;26;
UKE-GdaÒsk;0076/K/E/2012;2017-09-18;SP4YZW;1;150;SP2LLR;SP2BME;SP2CI;WarmiÒsko-Pomorskie Stowarzyszenie Radiokomunikacji Amatorskiej im.Tadeusza Odrowskiego z siedzibπ w GdaÒsku;GDA—SK;ul. Pileckiego;4;;WarmiÒsko-Pomorskie Stowarzyszenie Radiokomunikacji Amatorskiej im.Tadeusza Odrowskiego z siedzibπ w GdaÒsku;GDA—SK;ul. Pileckiego;4;;KARTUZY;ul. Tredera;3;
UKE-Katowice;55/K/F/2012;2017-09-18;SP9PDF;1;500;SP9ENO;SP9NRD;SP9MRN;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Akademicki Klub KrÛtkofalowcÛw SP9PDF przy Politechnice ålπskiej;Gliwice;Kochanowskiego;37;1017;Gliwice;Kochanowskiego;37;1017
UKE-Katowice;56/K/F/2012;2017-09-18;SP9KAT;1;500;SP9FV;SQ9BEJ;SP9AHW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Radioklub Beskidzki SP9KAT;Gliwice;Kochanowskiego;37;1017;Bielsko-Bia≥a;Asnyka;30;
UKE-Katowice;66/K/F/2012;2017-09-18;SP9PRO;1;500;SP9PT;SP9BQJ;SP9FOW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw przy ZO SITG;Rybnik;Piasta;28;;Rybnik;Piasta;28;
UKE-Warszawa;93/K/B/2012;2017-09-26;SP5YBA;1;150;SQ5AOQ;SQ5KVO;SQ5KWB;"Stowarzyszenie KrÛtkofalarski Klub £πcznoúci ""BAKS""";£ajski;ul. Leúna;10;;"Stowarzyszenie KrÛtkofalarski Klub £πcznoúci ""BAKS""";£ajski;ul. Leúna;10;;£ajski;ul. Leúna;10;
UKE-Katowice;95/K/F/2012;2017-10-16;SP9PKM;1;500;SP9FUC;SP9FRZ;SQ9ANT;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw SP9PKM przy Miejskim Oúrodku Kultury w Pszowie;PszÛw;Traugutta;1;;PszÛw;Traugutta;1;
UKE-Katowice;136/K/F/2012;2017-10-30;SP9YJC;1;150;SQ9IWS;SQ9ITA;SP9IWP;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Stowarzyszenie KrÛtkofalowcÛw Jury Krakowsko-CzÍstochowskiej;Imielin;Wierzbowa;12;;Imielin;Wierzbowa;12;
UKE-Warszawa;94/K/B/2012;2017-11-04;SP5ZGO;1;150;SP5SMY;SQ8JCB;SP5ADX;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Lubelski Oddzia≥ Terenowy PZK;WojciechÛw;;177;;Siedlce;ul. Woszczerowicza;7;33
UKE-Warszawa;95/K/B/2012;2017-11-11;SP5POT;1;150;SQ5LTH;SQ5MOV;SQ5LTV;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Osowska;73/79;38;Warszawa;ul. Osowska;73/79;38
UKE-Warszawa;100/K/B/2012;2017-11-14;SP7PAD;1;150;SP7NWM;SP7MJL;SP7NPK;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK przy Komendzie Hufca  ZHP Sochaczew;SOCHACZEW;ul. Hanki Sawickiej;3;;SOCHACZEW;ul. Hanki Sawickiej;3 b;
UKE-Bia≥ystok;3/K/C/2012;2017-11-15;SP4KAI;1;150;SP4FKS;SP4BLS;SP4RUA;Klub £πcznoúci LOK SP4KAI;Bia≥ystok;ul. Andersa;5C;;Klub £πcznoúci LOK SP4KAI;Bia≥ystok;ul. Andersa;5C;;Bia≥ystok;ul. Andersa;5C;
UKE-Katowice;64/K/F/2012;2017-11-15;SP9ZHS;1;150;SP9HOF;SP9GNM;SP9EGM;Zwiπzek Harcerstwa Polskiego Chorπgiew ålπska;Katowice;Al.Korfantego;8;;"Harcerski Klub KrÛtkofalowcÛw ""Beskid""";Bielsko-Bia≥a;Czereúniowa;20;;Bielsko-Bia≥a;Czereúniowa;20;
UKE-Lublin;2/K/K/2012;2017-11-21;SP8KEZ;1;500;SP8QEJ;SQ8EP;SQ8BGR;Stowarzyszenie KrÛtkofalowcÛw i RadioamatorÛw;åwidnik;ul. K.K.BaczyÒskiego;6;6a;Stowarzyszenie KrÛtkofalowcÛw i RadioamatorÛw;åwidnik;ul. K.K.BaczyÒskiego;6;6a;åwidnik;ul. K.K.BaczyÒskiego;6;6a
UKE-Olsztyn;3/K/M/2012;2017-11-22;SP4KSY;1;500;SP4HHI;SP4GSW;SQ4OLG;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci Ligi Obrony Kraju SP4KSY;Olsztyn;Westerplatte;1A;;Olsztyn;Westerplatte;1A;
UKE-Warszawa;102/K/B/2012;2017-11-23;SP5KVP;1;500;SP5BPI;SP5RDD;SP5NOO;Ochotnicza Straø Poøarna URSUS;Warszawa;ul. Rynkowa;8;;Klub Radioamatorski SP5KVP przy OSP Ursus;Warszawa;ul. Rynkowa;8;;Warszawa;ul. Rynkowa;8;
UKE-Warszawa;103/K/B/2012;2017-11-23;SP5KEH;1;500;SP5RDD;SP5BPI;SP5NOO;Ochotnicza Straø Poøarna URSUS;Warszawa;ul. Rynkowa;8;;Klub Radioamatorski SP5KEH przy OSP Ursus;Warszawa;ul. Rynkowa;8;;Warszawa;ul. Rynkowa;8;
