number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
DC.WML.5101.293.2019.4;2020-02-01;SN2K;Dodatkowe;1500;Miejski Klub Sportowy W³adys³awowo;W³adys³awowo;ul.  1000 Lecia Pañstwa Polskiego;23;3;"";"";"";"";"";W³adys³awowo;ul. Bohaterów Kaszubskich dz. 592/5;"";"";54.7980996159;18.4027671146
DC.WML.5101.1167.2019.2;2020-04-04;SN5A;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Warszawa - Weso³a;ul. Nizinna;4;"";;
DC.WML.5101.476.2019.2;2029-02-06;SP3YOR;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Poznañ;osiedle Rusa;135;48;;
DC.WML.5101.483.2019.2;2020-02-07;SN765GR;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Chojna;ul. Jagielloñska;2;"";52.9509476276;14.4414243043
DC.WML.5101.1232.2019.5;2029-05-09;SP6PCP;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Stara Kamienica;Stara Kamienica;82;3;50.9125595119;15.5715227338
DC.WML.5101.513.2019.2;2020-02-08;SN7L;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Góra Kamieñsk;"";"";"";;
DC.WML.5101.514.2019.2;2020-03-14;SN5T;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Warszawa;Augustyna Kordeckiego;66;U1;52.2455479281;21.0921691416
DC.WML.5101.515.2019.2;2020-02-24;SO5O;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ostro³êka;ul. Sienkiewicza;3;"";;
DC.WML.5101.518.2019.2;2029-02-08;SP5ZST;Kategoria1;500;Stowarzyszenie Elektryków Polskich Oddzia³ Radomski;Radom;ul. Krukowskiego;1;"";"";"";"";"";"";Radom;ul. Limanowskiego;26;30;51.3889984059;21.1473896703
DC.WML.5101.529.2019.2;2029-02-08;SP5YCW;Kategoria1;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Ka³êczyn;ul. Przesmyk;22;"";;
