number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
DC.WML.5101.2776.2019.2;2020-09-12;HF60KJM;Dodatkowe;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Siemianowice Œl¹skie;ul. Niepodleg³oœci;51;"";;
DC.WML.5101.2777.2019.2;2020-09-12;SN5G;Dodatkowe;1500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Warszawa;ul. Chocimska;14;415;;
DC.WML.5101.2781.2019.3;2029-09-12;SP7KGO;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Busko-Zdrój;ul. Dzia³kowicza;1;"";50.4801610797;20.7134830342
DC.WML.5101.2788.2019.2;2020-10-01;HF50DP;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bielsko-Bia³a;ul. Adama Asnyka;30;"";;
DC.WML.5101.2789.2019.2;2020-10-01;HF50BB;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bielsko-Bia³a;ul. Adama Asnyka;30;"";49.846083554;19.0483566419
DC.WML.5101.2813.2019.2;2020-09-17;SP3RN;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";£ódŸ;ul. Przêdzalniana;102/104;"";51.7837719521;19.384750556
DC.WML.5101.2821.2019.3;2029-09-17;SP3PLV;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Pi³a;ul. Tetmajera;6;36;;
DC.WML.5101.2827.2019.2;2020-06-30;3Z50PEF;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Jaros³aw;ul. Rynek;6;33;50.4954432161;21.0473378904
DC.WML.5101.2859.2019.2;2020-09-26;HF80ENI;Dodatkowe;500;"Stowarzyszenie ""Na Fali Profilaktyki""";Warszawa;Al. Niepodleg³oœci;73;47;"";"";"";"";"";Stare Garkowo;"";2;"";;
DC.WML.5101.2867.2019.2;2029-09-23;SP5PDA;Kategoria1;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Czernice Borowe;ul. Bagienna;1;"";53.0328491678;20.714719233
DC.WML.5101.1405.2019.5;2029-04-17;SP4KAI;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Bia³ystok;ul. Lewandowskiego;5;"";;
DC.WML.5101.2858.2019.4;2029-09-25;SP0ZHP;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego;Warszawa;Marii Konopnickiej;6;"";"";"";"";"";"";Warszawa;ul. Piaskowa;4;"";52.2541555355;20.9761003973
DC.WML.5101.2938.2019.2;2029-10-02;SP7ZCN;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew £ódzka;£ódŸ;Stefanowskiego;19;"";"";"";"";"";"";Sieradz;ul. Pi³sudskiego;7;"";;
DC.WML.5101.2966.2019.2;2029-10-16;SP9YKD;Kategoria1;500;Stowarzyszenie Krótkofalowców Zag³êbia D¹browskiego;D¹browa Górnicza;ul. Józefa Mireckiego;22;"";"";"";"";"";"";D¹browa Górnicza;ul. Stanis³awa Staszica;90;"";50.3796741373;19.1924113125
DC.WML.5101.2971.2019.2;2020-10-15;SN9A;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";D¹browa Górnicza;ul. Swobodna;59;"";;
DC.WML.5101.2972.2019.2;2020-10-04;HF2020HNY;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bydgoszcz;ul. Bia³ogardzka;15;63;53.1209975745;18.0447200466
